ROC,Rochester,,
SYR,Syracuse,,
HPN,Westchester,,
AVL,Asheville,,
CLT,Charlotte/Douglas International Airport,,
FAY,Fayetteville,,
GSO,Greensboro,,
RDU,Raleigh,,
INT,Winston-Salem,,
BIS,Bismark,,
FAR,Fargo,,
CAK,Akron,,
CVG,Cincinnati,,
CLE,Cleveland,,
CMH,Columbus,,
DAY,Dayton,,
TOL,Toledo,,
OKC,Oklahoma City,,
TUL,Tulsa,,
EUG,Eugene,,
PDX,Portland International Airport,,
HIO,"Portland, Hillsboro Airport",,
SLE,Salem,,
ABE,Allentown,,
ERI,Erie,,
MDT,Harrisburg,,
PHL,Philadelphia,,
PIT,Pittsburgh,,
AVP,Scranton,,
PVD,Providence - T.F. Green Airport,,
CHS,Charleston,,
CAE,Columbia,,
GSP,Greenville,,
MYR,Myrtle Beach,,
PIR,Pierre,,
RAP,Rapid City,,
FSD,Sioux Falls,,
TRI,Bristol,,
CHA,Chattanooga,,
TYS,Knoxville,,
MEM,Memphis,,
BNA,Nashville,,
AMA,Amarillo,,
AUS,Austin Bergstrom International Airport,,
CRP,Corpus Christi,,
DAL,Dallas Love Field Airport,,
DFW,Dallas/Fort Worth International Airport,,
ELP,El Paso,,
HOU,"Houston, William B Hobby Airport",,
IAH,"Houston, George Bush Intercontinental Airport",,
LBB,Lubbock,,
MAF,Midland,,
SAT,San Antonio International Airport,,
SLC,Salt Lake City,,
BTV,Burlington,,
MPV,Montpelier,,
RUT,Rutland,,
IAD,Dulles,,
PHF,Newport News,,
ORF,Norfolk,,
RIC,Richmond,,
ROA,Roanoke,,
PSC,"Pasco, Pasco/Tri-Cities Airport",,
SEA,"Seattle, Tacoma International Airport",,
GEG,Spokane International Airport,,
CRW,Charleston,,
CKB,Clarksburg,,
GRB,Green Bay,,
MSM,Madison,,
MKE,Milwaukee,,
CPR,Casper,,
CYS,Cheyenne,,
JAC,Jackson Hole,,
RKS,Rock Springs,,
SFB,Orlando Standford,,
SJU,San Juan,,
BLV,Belleville,,
BMI,Bloomington,,
AKN,King Salmon,,
BET,Bethel,,
BZN,Bozeman,,
OTZ,Kotzebue,,
DUT,Dutch Harbor,,
LBE,Latrobe,,
ADQ,Kodiak,,
SIT,Sitka,,
DLG,Dillingham,,
RFD,Chicago Rockford,,
SAF,Santa Fe,,
OGS,Ogdensburg,,
ATW,Appleton,,
USA,Concord,,
HGR,Hagerstown,,
LCK,Colombus,,
MSN,Madison,,
YAK,Yakutat,,
ILM,Wilmington,,
COD,Cody/Yellowstone,,
TVC,Traverse City,,
ELM,Elmira,,
HDN,Hayden,,
LFT,Lafayette,,
XNA,Fayetteville,,
VDZ,Valdez,,
PAH,Paducah,,
PSM,Portsmouth,,
SDP,Sand Point,,
COU,Columbia,,
CWA,Stevens Point/Wausau,,
GTF,Great Falls,,
ABY,Albany,,
MKK,Hoolehua,,
ECP,Northwest Florida Beaches International Airport,,
ATY,Watertown,,
MLU,Monroe,,
SCE,State College/University Park,,
LCH,Lake Charles,,
HRL,Harlingen,,
IDA,Idaho Falls,,
LNY,Lanai City,,
MQT,Marquette,,
GGW,Glasgow,,
ITH,Ithaca,,
SBP,San Luis Obispo,,
MSO,Missoula,,
YKM,Yakima,,
CSG,Columbus,,
LWS,Lewiston,,
XWA,Williston Basin International Airport,,
BQK,Brunswick,,
MFE,Mcallen,,
HIB,Chisholm/Hibbing,,
ADK,Adak Island,,
LBL,Liberal,,
CNY,Moab,,
IPT,Williamsport,,
ALW,Walla Walla,,
HOB,Lea County Regional Airport,,
TWF,Twin Falls,,
VQS,Antonio Rivera Rodríguez Airport,,
STC,Saint Cloud,,
OGD,Ogden-Hinckley Airport,,
JMS,Jamestown,,
LRD,Laredo,,
GRI,Grand Island,,
JLN,Joplin,,
GGG,Gladewater/Kilgore,,
SPN,Saipan International Airport,,
LYH,Lynchburg Regional Airport,,
TEX,Telluride,,
BTM,Butte,,
DRT,Del Rio International,,
PIH,Pocatello,,
TYR,Tyler,,
SGU,Saint George,,
RHI,Rhinelander,, 
GRK,Killeen-Fort Hood Regional Airport,,
SPS,Wichita Falls,,
ABI,Abilene,,
SDY,Sidney-Richland Airport,,
SHD,Staunton,,
CGI,Cape Girardeau,,
AOO,Altoona,,
JST,Johnstown,,
BFD,Bradford,,
LNS,Lancaster,,
SBY,Salisbury-Ocean City,,
EKO,Elko,,
BKG,Branson Airport,,
ACV,Arcata,,
DDC,Dodge City,,
CEZ,Cortez,,
DVL,Devil's Lake,,
CDR,Chadron,,
IMT,Iron Mountain,,
BGM,Binghamton,,
APN,Alpena,,
PQI,Presque Isle,,
EAT,Wenatchee,,
IPL,El Centro,,
BPT,Beaumont/Port Arthur,,
ACT,Waco,,
SLK,Saranac Lake,,
MSS,Massena,,
ROW,Roswell,,
GCK,Garden City,,
MHK,Manhattan,,
ELD,El Dorado,,
GLH,Greenville,,
MWA,Marion,,
DEC,Decatur,,
GTR,Columbus,,
DBQ,Dubuque,,
BRD,Brainerd,,
BJI,Bemidji,,
ALO,Waterloo,,
CPX,Aeropuerto Benjamín Rivera Noriega,,
SPB,aérodrome de Charlotte Amalie Harbor,,
EWB,New Bedford Regional Airport,,
SSB,#N/A,,
MUE,Kamuela,, 
CEC,Crescent City,,
HOT,Hot Springs,,
AIN,Wainwright,,
BTI,Barter Island,,
OOK,Toksook Bay,,
KSM,Saint Mary's,,
MKT,Mankato,,
KOT,Kotlik,,
SHH,Shishmaref,,
AZA,Phoenix-Mesa Gateway Airport,,
OME,Nome,,
SCC,Prudhoe Bay/Deadhorse,,
BFF,Scottsbluff,,
CDV,Cordova,,
MOT,Minot,,
GST,Gustavus,,
KTN,Ketchikan,,
PGD,Punta Gorda Airport,,
IAG,Niagara Falls International Airport,,
BLI,Bellingham,,
MTJ,Montrose,,
VPS,Fort Walton Beach,,
BRW,Barrow,,
PAE,Paine Field,,
PIB,Laurel,,
HOM,Homer,,
FCA,Glacier Park International Airport,,
ENA,Kenai,,
MLB,Melbourne,,
PVU,Provo Airport,,
HHH,Hilton Head,,
PBG,Plattsburgh International Airport,,
PUW,Pullman-Moscow Regional Airport,,
MFR,Rogue Valley International Medford Airport,,
AEX,Alexandria International Airport,,
HTS,Huntington Tri-State Airport,,
HVN,New Haven,,
PLN,Pellston,,
HVR,Havre,,
CDB,Cold Bay,,
EGE,Vail,,
WRG,Wrangell,,
CHO,Charlottesville,,
SWO,Stillwater,,
HNM,Hana,,
VLD,Valdosta,,
EYW,Key West,,
GCC,Gillette,,
PSG,Petersburg,,
BRO,Brownsville,,
DRO,Durango,,
SUX,Sioux City,,
LAR,Laramie,,
TLH,Tallahassee,,
OLF,L.M. Clayton Airport,,
LBF,North Platte,,
FSM,Fort Smith,,
GNV,Gainesville,,
GFK,Grand Forks,,
WYS,West Yellowstone,,
ART,Watertown,,
JHM,Kapalua,, 
HLN,Helena,,
MRY,Carmel,,
SBA,Santa Barbara,,
MVY,Martha's Vineyard,,
MEI,Meridian,,
ISN,Williston,,
FLO,Florence,,
LSE,La Crosse,,
OAJ,Jacksonville,,
RDM,Redmond,,
MGW,Morgantown,,
STT,Cyril E. King Airport,,
OWB,Owensboro,,
MAZ,Eugenio María de Hostos Regional Airport,,
SCK,Stockton,,
DHN,Dothan,,
SPI,Springfield,,
STX,Henry E. Rohlsen Airport,,
GUC,Gunnison,,
BQN,Rafael Hernández Marín International Airport,,
SUN,Hailey,,
ESC,Escanaba,,
GUM,Antonio B. Won Pat International Airport,,
CIU,Website,,
EWN,Coastal Carolina Regional Airport,,
AIA,Save,,
SLN,Call,,
LWB,Lewisburg,,
STS,Santa Rosa,,
PSE,Ponce,,
DUJ,Dubois,,
RDD,Redding,,
FKL,Franklin,,
BFL,Bakersfield,,
CDC,Cedar City,,
RIW,Riverton,,
HYS,Hays,,
EAR,Kearney,,
PRC,Prescott,,
MMH,Mammoth Yosemite Airport,,
BFM,Mobile Downtown Airport,,
DIK,Dickinson,,
ALS,Alamosa,,
SHR,Sheridan,,
OTH,North Bend,,
VEL,Vernal,,
MCK,Mccook,,
PPG,Pago Pago International Airport,,
PDT,Pendleton,,
MCE,Merced,,
CMI,Champaign/Urbana,,
BHB,Bar Harbour,,
PVC,Provincetown,,
RKD,Rockland,,
LEB,Hanover,,
CLL,College Station,,
PGV,Greenville,,
TXK,Texarkana,,
SJT,San Angelo,,
LAW,Lawton,,
CVN,Clovis,,
TBN,Fort Leonard Wood,,
IRK,Kirksville,,
MSL,Florence/Muscle Shoals/Sheffield,,
ABR,Aberdeen,,
INL,International Falls,,
TVF,Thief River Falls,,
MKG,Muskegon,,
CMX,Hancock,,
EAU,Eau Claire,,
UIN,Quincy,,
VCT,Victoria,,
SOW,Show Low Regional Airport,,
SMX,Santa Maria,,
GDV,Glendive,,
CNM,Carlsbad,,
WMO,White Mountain,,
TUP,Tupelo,,
PGA,Page,,
PKB,Marietta,, WV 
BKW,Beckley,,
CYF,Chefornak,,
HRO,Harrison,,
UNK,Unalakleet,,
SCM,Scammon Bay,,
VAK,Chevak,,
GAL,Edward G Pitka Sr Airport,,
PQS,Pilot Station,,
